Topic Number,Score,Documents
36,0.0066429418742586,149207    167197    200174    274041    294428    299529    316260    316527    327853    329809    359301    359831    360845    398851    434683    454248    463316    482958    580015    592180    650157    674388    734189    760173    762860    791090    820828    835685
37,0.009252669039145907,122416    12688    142320    158917    172796    205916    21430    223709    226540    241751    24593    270943    284086    304800    331372    343001    34387    361441    380678    411763    437399    442932    443855    462328    495303    530240    548541    550070    559837    567950    610620    627144    652958    663837    694467    714636    721410    821860    862294
38,0.0014234875444839859,509672    601156    632892    751126    762407    797145
39,0.007354685646500593,105956    118985    134801    185253    198173    202891    209722    321420    37410    389005    391743    41635    422296    476527    498475    50181    510705    522631    534638    583284    678095    76031    827454    839935    841233    85978    869757    874294    880261    881344    91673
40,0.0028469750889679717,131900    137891    304983    407106    422378    522011    523324    599130    627830    700460    806120    867440
41,0.0007117437722419929,141822    389243    420566
42,0.0030842230130486356,207161    299421    367179    376820    397724    412369    446776    487864    625279    643493    691076    706158    841233
43,0.002372479240806643,113776    124668    196951    238145    286814    403805    511382    629892    646175    787516
44,0.0018979833926453143,167197    217661    225164    372591    403460    70857    872665    93238
45,0.0011862396204033216,156145    676373    741464    770213    806840
46,0.0011862396204033216,388873    588075    591843    676692    774716
47,0.009252669039145907,11456    131659    15106    202095    264428    266789    275390    302356    345499    346965    356445    359325    366023    395293    399786    417332    434531    443855    475539    490917    515326    517253    536876    555247    558944    562982    62116    656269    691114    697129    717501    743337    776330    817006    823916    834274    851695    858843    869280
48,0.002372479240806643,182983    182986    270756    388814    414027    450440    483168    487864    488268    787148
49,0.016370106761565837,105764    137891    138790    138916    145291    147500    183083    213755    218201    22479    233132    234970    248918    255186    25595    268082    279022    285843    291763    313234    3167    348124    361168    363717    36720    398478    407397    412549    42261    423011    423370    435031    43556    446804    456310    463479    472642    475162    486453    487379    496970    502932    513313    530106    532654    543891    548682    550785    560499    565980    566519    641455    642048    643946    682639    695046    699557    703151    72370    724303    730719    732596    740199    740200    758872    774172    778121    806028    852356
50,0.0030842230130486356,196843    23534    277574    451475    502932    525805    640816    666086    737399    746651    768808    780674    849681
51,0.004033214709371293,122495    150842    212751    310572    423025    451052    518672    525460    602128    640758    681282    694965    707929    750837    801093    849312    874025
